#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
5.0,5,3569.526481
5.0,5,3633.787374
-2.742999,3,3633.967116
5.0,5,3634.370222
0.0,5,3634.654105
-4.0,1,3634.811001
-2.0,3,3701.851826
-2.0,3,3702.066982
4.0,4,3702.406321
-1.0,4,3702.67811
-2.0,3,3702.947324
-2.742999,3,3767.788337
5.0,5,3767.993732
5.0,5,3768.256323
5.0,5,3768.531645
5.0,5,3768.779915
-2.468761,3,3834.931535
-2.0,3,3835.209375
5.0,5,3835.52389
5.0,5,3835.829302
5.0,5,3836.249147
-3.0,2,3902.907461
2.0,3,3903.141435
-3.697041,2,3903.306507
5.0,5,3903.665272
-3.0,2,3903.804127
5.0,5,3973.303539
5.0,5,3973.592943
-2.0,3,3973.784775
-2.468761,3,3974.069485
-1.0,4,3974.440254
5.0,5,4040.45545
5.0,5,4040.75101
-1.429751,4,4040.943833
5.0,5,4041.234357
-2.0,3,4041.438224
4.0,4,4107.822315
-2.0,3,4107.964666
5.0,5,4108.303884
-2.0,3,4108.47114
5.0,5,4108.769333
4.0,4,4173.679221
5.0,5,4173.964032
-2.0,3,4174.118894
-2.742999,3,4174.428069
4.0,4,4174.723301
-2.0,3,4243.392582
-2.0,3,4243.616289
5.0,5,4243.87374
-2.0,3,4244.111604
-1.429751,4,4244.330904
-2.468761,3,4311.508774
-3.0,2,4311.658367
-3.0,2,4311.829223
5.0,5,4312.085728
4.0,4,4312.227213
5.0,5,4380.88307
5.0,5,4381.191628
4.0,4,4381.468833
5.0,5,4381.786404
5.0,5,4382.037699
-2.742999,3,4446.012788
5.0,5,4446.340684
5.0,5,4446.570566
3.0,4,4446.74683
-2.0,3,4446.988449
-2.0,3,4513.393857
5.0,5,4513.720271
5.0,5,4513.868656
5.0,5,4514.141288
5.0,5,4514.423561
-2.0,3,4579.748346
5.0,5,4580.01896
-3.0,2,4580.178491
5.0,5,4580.510633
-2.0,3,4580.808568
5.0,5,4651.014297
5.0,5,4651.49017
5.0,5,4651.664019
5.0,5,4651.961197
-3.0,2,4652.149556
5.0,5,4719.065386
2.0,3,4719.281825
5.0,5,4719.546178
-2.0,3,4719.754354
5.0,5,4720.059232
-2.0,3,4788.17184
5.0,5,4788.420765
5.0,5,4788.754966
-2.0,3,4789.027541
5.0,5,4789.295648
5.0,5,4853.319152
6.0,6,4853.839566
-2.0,3,4854.114601
5.0,5,4854.469288
-3.0,2,4854.631479
-3.0,2,4922.217624
-3.0,2,4922.443899
2.0,3,4922.689573
5.0,5,4922.946214
-3.0,2,4923.105553
5.0,5,4987.755349
-2.175214,3,4987.933527
-1.702039,4,4988.191206
-3.0,2,4988.327898
-2.175214,3,4988.628599
-2.0,3,5058.162763
2.0,3,5058.307049
2.0,3,5058.586202
-2.468761,3,5058.835733
5.0,5,5059.099754
-1.702039,4,5124.546948
5.0,5,5124.84455
4.0,4,5125.144346
5.0,5,5125.541209
5.0,5,5125.741795
-2.0,3,5193.451097
5.0,5,5193.698006
-1.0,4,5193.90352
5.0,5,5194.283473
4.0,4,5194.5102
5.0,5,5258.692749
5.0,5,5259.032862
5.0,5,5259.270307
5.0,5,5259.623099
5.0,5,5259.930766
5.0,5,5328.203018
5.0,5,5328.445485
5.0,5,5328.756591
-2.468761,3,5328.975555
5.0,5,5329.429814
5.0,5,5395.72257
3.0,4,5396.063052
5.0,5,5396.390536
-2.0,3,5396.588454
-2.0,3,5396.890598
-2.0,3,5468.903846
4.0,4,5469.053452
5.0,5,5469.455025
-2.0,3,5469.618748
5.0,5,5469.885932
-3.0,2,5535.719418
2.0,3,5535.933232
-2.0,3,5536.241137
-2.468761,3,5536.538522
-2.0,3,5536.815715
5.0,5,5604.749952
-2.0,3,5605.03097
-3.0,2,5605.279695
-2.468761,3,5605.479923
-2.0,3,5605.688298
-3.0,2,5676.060982
-2.0,3,5676.197
5.0,5,5676.52684
5.0,5,5676.809037
-2.0,3,5677.119611
-1.0,4,5744.755645
5.0,5,5745.122232
-1.0,4,5745.544058
2.0,3,5745.782479
-2.0,3,5745.98737
3.0,4,5816.084069
5.0,5,5816.337456
-3.0,2,5816.44735
-2.0,3,5816.637231
5.0,5,5817.049816
5.0,5,5883.73011
-3.392624,2,5883.929378
2.0,3,5884.195601
-2.0,3,5884.426279
-2.468761,3,5884.650781
-2.0,3,5952.770797
5.0,5,5953.228584
-2.0,3,5953.482283
5.0,5,5953.785453
5.0,5,5954.091214
5.0,5,6022.930472
5.0,5,6023.226224
-2.0,3,6023.432316
5.0,5,6023.770028
4.0,4,6024.006052
5.0,5,6092.92819
5.0,5,6093.233584
5.0,5,6093.516158
4.0,4,6093.788946
-2.0,3,6093.969699
5.0,5,6160.111982
5.0,5,6160.353833
5.0,5,6160.721559
-2.0,3,6160.941747
5.0,5,6161.343117
-2.0,3,6228.873076
-2.0,3,6229.042357
5.0,5,6229.400009
5.0,5,6229.854553
5.0,5,6230.149529
4.0,4,6298.563602
5.0,5,6298.908797
-3.0,2,6299.027313
-2.0,3,6299.206486
-2.0,3,6299.367876
5.0,5,6368.615621
5.0,5,6368.912567
-2.0,3,6369.152137
-1.0,4,6369.478237
2.0,3,6369.736003
2.0,3,6437.269906
3.0,4,6437.63856
-3.0,2,6437.847737
-3.0,2,6438.033617
5.0,5,6438.353146
-3.0,2,6506.830576
5.0,5,6507.137232
-1.429751,4,6507.32182
-2.0,3,6507.491247
5.0,5,6508.034965
-1.0,4,6574.827542
-2.0,3,6575.080386
5.0,5,6575.374773
-3.0,2,6575.507492
5.0,5,6575.913358
-3.0,2,6647.284891
-1.0,4,6647.622851
5.0,5,6647.915017
-3.0,2,6648.170354
-1.0,4,6648.488195
5.0,5,6712.260408
-2.0,3,6712.460213
-2.0,3,6712.603258
5.0,5,6712.936717
-3.0,2,6713.069185
-2.175214,3,6781.202639
5.0,5,6781.489241
5.0,5,6781.770714
5.0,5,6782.068519
-2.0,3,6782.236964
-2.0,3,6847.337264
-2.0,3,6847.56607
-2.0,3,6847.787668
5.0,5,6848.140022
4.0,4,6848.519202
147.467196
5.0,5,147.666559
-2.0,3,147.889688
4.0,4,148.061096
4.0,4,148.359213
-2.0,3,148.546251
4.0,4,148.908881
